date,AI Jobs,Machine Learning,Data Science,Generative AI
2021-02-07,1,22,20,0
2021-02-14,1,22,20,0
2021-02-21,1,23,21,0
2021-02-28,1,24,20,0
2021-03-07,1,23,20,0
2021-03-14,1,23,20,0
2021-03-21,1,23,20,0
2021-03-28,1,22,20,0
2021-04-04,1,23,20,0
2021-04-11,1,24,19,0
2021-04-18,1,24,20,0
2021-04-25,1,23,20,0
2021-05-02,1,23,20,0
2021-05-09,1,23,21,0
2021-05-16,1,22,21,0
2021-05-23,1,24,21,0
2021-05-30,1,23,20,0
2021-06-06,1,24,22,0
2021-06-13,1,24,21,0
2021-06-20,1,22,20,0
2021-06-27,1,23,20,0
2021-07-04,1,22,19,0
2021-07-11,1,24,20,0
2021-07-18,1,23,22,0
2021-07-25,1,22,21,0
2021-08-01,1,21,20,0
2021-08-08,1,21,20,0
2021-08-15,1,22,21,0
2021-08-22,1,22,23,0
2021-08-29,1,22,22,0
2021-09-05,1,22,21,0
2021-09-12,1,24,24,0
2021-09-19,1,24,23,0
2021-09-26,1,24,23,0
2021-10-03,1,24,22,0
2021-10-10,1,22,20,0
2021-10-17,1,24,23,0
2021-10-24,1,25,22,0
2021-10-31,1,22,21,0
2021-11-07,1,25,22,0
2021-11-14,1,27,23,0
2021-11-21,1,25,22,0
2021-11-28,1,27,23,0
2021-12-05,1,25,22,0
2021-12-12,1,25,23,0
2021-12-19,0,22,21,0
2021-12-26,1,19,19,0
2022-01-02,1,28,27,0
2022-01-09,1,30,29,0
2022-01-16,1,28,28,0
2022-01-23,1,33,30,0
2022-01-30,1,31,29,0
2022-02-06,1,33,29,0
2022-02-13,1,37,32,0
2022-02-20,1,37,31,0
2022-02-27,1,34,30,0
2022-03-06,1,36,31,0
2022-03-13,1,36,32,0
2022-03-20,1,39,32,0
2022-03-27,1,38,33,0
2022-04-03,1,38,33,0
2022-04-10,1,35,30,0
2022-04-17,1,39,32,0
2022-04-24,1,38,33,0
2022-05-01,1,38,30,0
2022-05-08,1,41,33,0
2022-05-15,1,36,31,0
2022-05-22,1,35,31,0
2022-05-29,1,32,29,0
2022-06-05,1,35,30,0
2022-06-12,1,37,32,0
2022-06-19,1,37,35,0
2022-06-26,1,33,31,0
2022-07-03,1,34,31,0
2022-07-10,1,33,31,0
2022-07-17,1,32,32,0
2022-07-24,1,33,31,0
2022-07-31,1,32,32,0
2022-08-07,1,31,32,0
2022-08-14,1,32,33,0
2022-08-21,1,33,34,0
2022-08-28,1,33,33,0
2022-09-04,1,32,33,0
2022-09-11,1,36,37,0
2022-09-18,1,37,33,0
2022-09-25,1,37,33,0
2022-10-02,1,33,30,0
2022-10-09,1,38,32,0
2022-10-16,1,36,31,0
2022-10-23,1,34,30,0
2022-10-30,1,37,31,0
2022-11-06,1,38,33,0
2022-11-13,1,41,32,0
2022-11-20,1,36,28,0
2022-11-27,1,37,29,1
2022-12-04,2,39,29,1
2022-12-11,2,37,29,1
2022-12-18,1,32,27,1
2022-12-25,1,29,25,0
2023-01-01,2,33,30,1
2023-01-08,2,36,33,1
2023-01-15,2,37,32,1
2023-01-22,3,38,32,2
2023-01-29,3,37,33,2
2023-02-05,3,38,31,2
2023-02-12,3,36,31,2
2023-02-19,3,38,32,2
2023-02-26,3,38,30,3
2023-03-05,3,34,30,3
2023-03-12,3,36,31,3
2023-03-19,4,37,31,4
2023-03-26,5,38,35,4
2023-04-02,4,35,30,4
2023-04-09,4,37,30,4
2023-04-16,4,34,30,5
2023-04-23,4,36,31,5
2023-04-30,6,38,32,5
2023-05-07,5,36,33,6
2023-05-14,5,36,31,6
2023-05-21,5,38,33,9
2023-05-28,5,35,32,11
2023-06-04,5,34,33,13
2023-06-11,5,35,34,13
2023-06-18,5,35,34,11
2023-06-25,4,34,32,11
2023-07-02,4,34,32,10
2023-07-09,5,37,34,11
2023-07-16,6,35,33,11
2023-07-23,5,34,35,11
2023-07-30,5,34,31,11
