date,AI Jobs,Machine Learning,Data Science,Generative AI
2021-02-14,0,17,15,0
2021-02-21,1,19,15,0
2021-02-28,0,18,16,0
2021-03-07,0,18,14,0
2021-03-14,0,18,16,0
2021-03-21,0,18,15,0
2021-03-28,0,18,15,0
2021-04-04,0,18,16,0
2021-04-11,1,18,15,0
2021-04-18,1,19,16,0
2021-04-25,0,17,16,0
2021-05-02,0,19,15,0
2021-05-09,0,18,16,0
2021-05-16,1,18,16,0
2021-05-23,1,19,17,0
2021-05-30,0,18,16,0
2021-06-06,1,19,17,0
2021-06-13,1,19,16,0
2021-06-20,0,18,16,0
2021-06-27,0,18,16,0
2021-07-04,0,17,16,0
2021-07-11,0,19,16,0
2021-07-18,1,18,17,0
2021-07-25,1,18,17,0
2021-08-01,0,16,16,0
2021-08-08,1,17,16,0
2021-08-15,1,17,17,0
2021-08-22,0,18,18,0
2021-08-29,1,17,17,0
2021-09-05,0,17,17,0
2021-09-12,1,18,18,0
2021-09-19,1,18,19,0
2021-09-26,1,19,18,0
2021-10-03,1,19,17,0
2021-10-10,1,18,16,0
2021-10-17,1,19,18,0
2021-10-24,1,20,17,0
2021-10-31,0,17,16,0
2021-11-07,1,19,18,0
2021-11-14,1,21,18,0
2021-11-21,1,20,16,0
2021-11-28,1,20,18,0
2021-12-05,1,21,17,0
2021-12-12,1,19,17,0
2021-12-19,0,17,16,0
2021-12-26,0,16,16,0
2022-01-02,1,23,22,0
2022-01-09,1,24,23,0
2022-01-16,1,22,21,0
2022-01-23,1,25,23,0
2022-01-30,1,24,22,0
2022-02-06,1,25,23,0
2022-02-13,1,30,26,0
2022-02-20,1,29,25,0
2022-02-27,1,26,23,0
2022-03-06,1,28,25,0
2022-03-13,1,28,24,0
2022-03-20,1,30,25,0
2022-03-27,1,30,25,0
2022-04-03,1,30,26,0
2022-04-10,1,27,23,0
2022-04-17,1,31,25,0
2022-04-24,1,30,26,0
2022-05-01,1,30,23,0
2022-05-08,1,32,25,0
2022-05-15,1,29,24,0
2022-05-22,1,29,24,0
2022-05-29,1,27,23,0
2022-06-05,1,28,24,0
2022-06-12,1,29,24,0
2022-06-19,1,28,25,0
2022-06-26,1,26,24,0
2022-07-03,1,27,23,0
2022-07-10,1,25,24,0
2022-07-17,1,26,24,0
2022-07-24,1,26,24,0
2022-07-31,1,25,25,0
2022-08-07,1,24,24,0
2022-08-14,1,24,26,0
2022-08-21,1,26,26,0
2022-08-28,1,25,26,0
2022-09-04,1,26,25,0
2022-09-11,1,27,28,0
2022-09-18,1,28,27,0
2022-09-25,1,27,25,0
2022-10-02,1,25,24,0
2022-10-09,1,30,26,0
2022-10-16,1,28,23,0
2022-10-23,1,26,23,0
2022-10-30,1,28,24,0
2022-11-06,1,29,25,0
2022-11-13,1,32,26,0
2022-11-20,1,29,21,0
2022-11-27,1,29,23,0
2022-12-04,1,29,23,1
2022-12-11,1,29,23,1
2022-12-18,1,25,21,1
2022-12-25,1,23,19,0
2023-01-01,1,26,23,1
2023-01-08,2,30,25,1
2023-01-15,2,29,25,1
2023-01-22,2,30,25,1
